id,year,month,day,1st,2nd,3rd,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10
587,1992,1,11,3498,2656,3347,3,2684,3256,4349,5548,6876,7397,7642,7698,8092,394,482,938,973,1602,1878,4088,4965,5386,6690
588,1992,1,12,2235,1766,19,2906,3210,4238,4393,4518,4767,8232,8610,9345,9474,746,5193,6556,6909,7126,7855,7952,8289,8567,9859
589,1992,1,18,6142,6528,5292,1673,3142,3599,4262,4515,4581,6376,6423,6631,7224,823,1002,1070,2695,3043,3178,3801,3813,4825,7613
590,1992,1,19,1703,9947,7557,1188,1654,2209,3665,4864,5089,7043,7475,8179,9189,430,1801,1974,2379,2440,2763,6236,7546,7786,8873
591,1992,1,25,8008,1599,537,856,2646,2662,3713,3878,5275,7394,8116,9166,9413,1061,1514,2055,4413,4452,5468,6063,7776,8760,9987
592,1992,1,26,1156,2725,1552,3345,3696,4662,4882,5427,5869,7403,9086,9541,9674,2511,3501,4104,4449,5088,6085,7386,8673,9488,9503
593,1992,2,1,9906,3727,7462,224,1206,2744,2970,3110,5932,7468,8226,8424,9145,713,3321,3600,4248,5468,6592,7938,8815,9553,9758
594,1992,2,2,8023,6441,7376,449,1152,4823,5543,5790,6260,6555,6580,7007,8024,2509,2558,2945,4741,6017,7146,7210,8432,9147,9791
595,1992,2,8,5826,6164,1701,935,1784,2452,3759,5093,5447,5970,6237,7215,8323,812,1447,1504,5221,6140,7929,8107,8718,9204,9568
596,1992,2,9,1566,3664,9989,1589,1599,3932,6367,6961,7150,7741,8128,8334,9551,1336,1923,4246,4364,4460,4903,6217,6985,7289,9736
597,1992,2,15,1518,7667,2205,3246,4613,6047,6624,7427,8579,8827,9297,9521,9692,1922,2257,3206,3732,4328,4766,4980,7314,7792,8677
598,1992,2,16,1833,52,5905,1134,2249,2527,3415,4152,5188,6159,6325,7944,8217,1319,1400,1986,4967,5212,8257,8635,9183,9515,9644
599,1992,2,22,6067,2311,894,746,1082,1609,2633,7816,8790,8867,8948,9275,9333,207,1126,1482,2023,2482,3078,3936,7183,8450,9269
600,1992,2,23,4687,6026,9050,38,103,753,3968,5814,5853,6426,8067,8214,8379,1012,1499,1823,1853,3340,5380,6431,6618,6751,9046
601,1992,2,29,2514,686,443,2718,2885,4313,4560,4865,5736,6608,7376,7406,8651,472,1327,3771,5411,6944,7332,7899,9115,9231,9519
602,1992,3,1,8037,1787,4404,27,2732,2876,4010,4308,5778,7074,7634,7842,9716,1378,1754,1869,2440,3988,4920,5161,7363,7625,7716
603,1992,3,7,8372,1949,6910,1735,1797,2558,3528,6530,7784,8117,9324,9649,9961,824,2634,3313,3317,4040,4186,4292,4597,8193,9560
604,1992,3,8,6426,9939,2626,1465,1687,2190,4156,6970,7632,7912,8106,8194,9328,392,738,2734,3210,3661,5348,6241,6575,9387,9594
605,1992,3,14,522,1801,9359,696,1139,1222,3103,3209,3933,4432,4815,7145,7838,855,2118,4846,5586,5614,5944,6127,6586,7477,9260
606,1992,3,15,7042,5954,259,26,403,627,4941,5151,5890,6228,8839,9016,9339,37,694,2952,3126,4058,4487,5402,6320,8401,9916
607,1992,3,21,2497,8963,4474,1097,1673,1843,2555,2597,3578,6978,7078,9292,9916,499,2082,2786,3698,3866,3898,4090,4982,7578,9383
608,1992,3,22,2002,8377,3700,367,1024,1871,2715,3155,3561,5894,7558,8460,9521,956,1358,1814,5234,5265,5271,5702,8019,8398,8905
609,1992,3,28,8716,5443,8135,3874,5531,6217,6460,6570,7569,7765,8038,8713,9909,314,444,1625,3173,3829,4817,5263,6313,8893,9306
610,1992,3,29,84,938,5244,1958,2419,3992,4811,5287,8046,8999,9269,9534,9714,588,796,1212,1831,2549,2882,3721,4842,6253,7667
611,1992,4,4,6838,4421,6944,1572,2842,3612,3676,4120,4169,5448,7388,7593,8973,1464,1514,2160,4116,5004,5265,8197,8830,8908,9450
612,1992,4,5,7479,3526,3303,290,1398,3613,5011,7116,7249,7468,7483,8005,8707,727,959,2805,3881,5160,6076,7751,9295,9932,9962
613,1992,4,11,5666,5290,3043,823,974,1581,2973,4890,5527,6074,6189,8140,9382,2028,2074,2723,3989,5010,5155,5581,6345,8855,9020
